nid	mid	fields
1267679368759	1342696646292	欲しい	to want	欲[ほ]しい
1267679368760	1342696646292	けち（な）	stingy; cheap	けち（な）
1267679368761	1342696646292	送る	to send; to walk/drive (someone)	送[おく]る
1267679368762	1342696646292	似合う	to look good (on somebody)	似合[にあ]う
1267679368763	1342696646292	あきらめる	to give up	あきらめる
1267679368764	1342696646292	あげる	to give (to others)	あげる
1267679368765	1342696646292	くれる	to give (to me, from them to you)	くれる
1267679368766	1342696646292	できる	to come into existence; to be made	できる
1267679368767	1342696646292	相談する	to consult	相談[そうだん]する
1267679368768	1342696646292	プロポーズする	to propose marriage	プロポーズする
1267679368769	1342696646292	同じ	same	同[おな]じ
1267679368770	1342696646292	私たち	we	私[わたし]たち
1267679368771	1342696646292	ちょうど	exactly	ちょうど
1267679368772	1342696646292	～個	[generic counter for smaller items]	～ 個[こ]
1267679368773	1342696646292	～冊	[counter for bound volumes]	～ 冊[さつ]
1267679368774	1342696646292	～台	[counter for equipment]	～台[だい]
1267679368775	1342696646292	～匹	[counter for smaller animals]	～ 匹[ひき]
1267679368776	1342696646292	絵	painting; picture; drawing	絵[え]
1267679368777	1342696646292	映画館	movie theater	映画[えいが] 館[かん]
1267679368778	1342696646292	外国人	foreigner	外国[がいこく] 人[じん]
1267679368779	1342696646292	家具	furniture	家具[かぐ]
1267679368780	1342696646292	観光	sightseeing	観光[かんこう]
1267679368781	1342696646292	結婚式	wedding	結婚式[けっこんしき]
1267679368782	1342696646292	地震	earthquake	地震[じしん]
1267679368783	1342696646292	締め切り	deadline	締め切[しめき]り
1267679368784	1342696646292	ジャケット	jacket	ジャケット
1267679368785	1342696646292	習慣	custom	習慣[しゅうかん]
1267679368786	1342696646292	税金	tax	税金[ぜいきん]
1267679368787	1342696646292	卒業式	graduation ceremony	卒業[そつぎょう] 式[しき]
1267679368788	1342696646292	地図	map	地図[ちず]
1267679368789	1342696646292	庭	garden	庭[にわ]
1267679368790	1342696646292	発表	presentation	発表[はっぴょう]
1267679368791	1342696646292	番組	broadcast program	番組[ばんぐみ]
1267679368792	1342696646292	プール	swimming pool	プール
1267679368793	1342696646292	ペット	pet	ペット
1267679368794	1342696646292	予定	schedule	予定[よてい]
1267679368795	1342696646292	旅館	inn	旅館[りょかん]
1267679368796	1342696646292	割引券	discount coupon	割引[わりびき] 券[けん]
1267679368797	1342696646292	広い	spacious; wide	広[ひろ]い
1267679368798	1342696646292	売る	to sell	売[う]る
1267679368799	1342696646292	下ろす	to withdraw (money)	下[お]ろす
1267679368800	1342696646292	かく	to draw; to paint	かく
1267679368801	1342696646292	探す	to look for	探[さが]す
1267679368802	1342696646292	誘う	to invite	誘[さそ]う
1267679368803	1342696646292	付き合う	-1 to date (someone) -2 to keep company	付き合[つきあ]う
1267679368804	1342696646292	着く	to arrive	着[つ]く
1267679368805	1342696646292	保険に入る	to buy insurance	保険[ほけん]に 入[はい]る
1267679368806	1342696646292	気をつける	to be cautious/careful	気[き]をつける
1267679368807	1342696646292	調べる	to look into (a matter)	調[しら]べる
1267679368808	1342696646292	捨てる	to throw away	捨[す]てる
1267679368809	1342696646292	見える	to be visible	見[み]える
1267679368810	1342696646292	卒業する	to graduate (from ...)	卒業[そつぎょう]する
1267679368811	1342696646292	予約する	to reserve	予約[よやく]する
1267679368812	1342696646292	一日中	all day long	一日[いちにち] 中[じゅう]
1267679368813	1342696646292	最近	recently	最近[さいきん]
1267679368814	1342696646292	駅員	station attendant	駅員[えきいん]
1267679368815	1342696646292	親	parent	親[おや]
1267679368816	1342696646292	ごみ	garbage	ごみ
1267679368817	1342696646292	砂糖	sugar	砂糖[さとう]
1267679368818	1342696646292	奨学金	scholarship	奨学[しょうがく] 金[きん]
1267679368819	1342696646292	親せき	relatives	親[しん]せき
1267679368820	1342696646292	推薦状	letter of recommendation	推薦[すいせん] 状[じょう]
1267679368821	1342696646292	大学院	graduate school	大学院[だいがくいん]
1267679368822	1342696646292	台風	typhoon	台風[たいふう]
1267679368823	1342696646292	日	day	日[ひ]
1267679368824	1342696646292	ファイル	file; portfolio	ファイル
1267679368825	1342696646292	道	way; road; directions	道[みち]
1267679368826	1342696646292	目覚まし時計	alarm clock	目覚[めざ]まし 時計[とけい]
1267679368827	1342696646292	汚い	dirty	汚[きたな]い
1267679368828	1342696646292	起こす	to wake (someone) up	起[お]こす
1267679368829	1342696646292	おごる	to treat (someone) to a meal	おごる
1267679368830	1342696646292	落ち込む	to get depressed	落ち込[おちこ]む
1267679368831	1342696646292	困る	to have difficulty	困[こま]る
1267679368832	1342696646292	出す	to take (something) out; to hand in (something)	出[だ]す
1267679368833	1342696646292	連れていく	to take (someone) to (a place)	連[つ]れていく
1267679368834	1342696646292	直す	to correct; to fix	直[なお]す
1267679368835	1342696646292	道に迷う	to become lost; to lose one's way	道[みち]に 迷[まよ]う
1267679368836	1342696646292	訳す	to translate	訳[やく]す
1267679368837	1342696646292	笑う	to laugh	笑[わら]う
1267679368838	1342696646292	アイロンをかける	to iron (clothes)	アイロンをかける
1267679368839	1342696646292	集める	to collect	集[あつ]める
1267679368840	1342696646292	入れる	to put (something) in	入[い]れる
1267679368841	1342696646292	乗り遅れる	to miss (a train, bus, etc.)	乗り遅[のりおく]れる
1267679368842	1342696646292	見せる	to show	見[み]せる
1267679368843	1342696646292	朝寝坊する	to oversleep	朝寝坊[あさねぼう]する
1267679368844	1342696646292	案内する	to show (someone) around	案内[あんない]する
1267679368845	1342696646292	説明する	to explain	説明[せつめい]する
1267679368846	1342696646292	迎えに来る	to come to pick up (someone)	迎[むか]えに 来[く]る
1267679368847	1342696646292	ええと	well...; let me see...	ええと
1267679368848	1342696646292	今日中に	by the end of today	今日[きょう] 中[ちゅう]に
1267679368849	1342696646292	この間	the other day	この 間[かん]
1267679368850	1342696646292	このぐらい	about this much	このぐらい
1267679368851	1342696646292	ごめん	I'm sorry. (casual)	ごめん
1267679368852	1342696646292	失礼します	Excuse me..; Sorry to interrupt you.	失礼[しつれい]します
1267679368853	1342696646292	自分で	(do something) oneself	自分[じぶん]で
1267679368854	1342696646292	授業中に	in class; during the class	授業[じゅぎょう] 中[ちゅう]に
1267679368855	1342696646292	ほかの	other	ほかの
1267679368856	1342696646292	お客さん	guest; visitor; client; customer	お 客[きゃく]さん
1267679368857	1342696646292	男	man	男[おとこ]
1267679368858	1342696646292	お湯	hot water	お 湯[ゆ]
1267679368859	1342696646292	女	woman	女[おんな]
1267679368860	1342696646292	かぎ	key	かぎ
1267679368861	1342696646292	紙	paper	紙[かみ]
1267679368862	1342696646292	給料	salary	給料[きゅうりょう]
1267679368863	1342696646292	コンタクト	contact lenses	コンタクト
1267679368864	1342696646292	最低	the lowest; the worst	最低[さいてい]
1267679368865	1342696646292	サラリーマン	salaryman; company employee	サラリーマン
1267679368866	1342696646292	残業	overtime work	残業[ざんぎょう]
1267679368867	1342696646292	ストーブ	heater	ストーブ
1267679368868	1342696646292	宝くじ	lottery	宝[たから]くじ
1267679368869	1342696646292	違い	difference	違[ちが]い
1267679368870	1342696646292	ニュース	news	ニュース
1267679368871	1342696646292	ひげ	beard	ひげ
1267679368872	1342696646292	秘密	secret	秘密[ひみつ]
1267679368873	1342696646292	寮	dormitory	寮[りょう]
1267679368874	1342696646292	旅行会社	travel agency	旅行[りょこう] 会社[かいしゃ]
1267679368875	1342696646292	うらやましい	envious	うらやましい
1267679368876	1342696646292	少ない	a little; a few	少[すく]ない
1267679368877	1342696646292	強い	strong	強[つよ]い
1267679368878	1342696646292	選ぶ	to choose; to select	選[えら]ぶ
1267679368879	1342696646292	髪をとかす	to comb one's hair	髪[かみ]をとかす
1267679368880	1342696646292	お湯を沸かす	to boil water	お 湯[ゆ]を 沸[わ]かす
1267679368881	1342696646292	込む	to get crowded	込[こ]む
1267679368882	1342696646292	宝くじに当たる	to win a lottery	宝[たから]くじに 当[あ]たる
1267679368883	1342696646292	脱ぐ	to take off (clothes)	脱[ぬ]ぐ
1267679368884	1342696646292	ひげをそる	to shave one's beard	ひげをそる
1267679368885	1342696646292	いれる	to make tea, coffee, etc.	いれる
1267679368886	1342696646292	かぎをかける	to lock	かぎをかける
1267679368887	1342696646292	足りる	to be sufficient; to be enough	足[た]りる
1267679368888	1342696646292	慣れる	to get used to...	慣[な]れる
1267679368889	1342696646292	化粧する	to put makeup on	化粧[けしょう]する
1267679368890	1342696646292	就職する	to get a full-time job (at...)	就職[しゅうしょく]する
1267679368891	1342696646292	離婚する	to get a divorce	離婚[りこん]する
1267679368892	1342696646292	おめでとうございます	Congratulations!	おめでとうございます
1267679368893	1342696646292	自分	oneself	自分[じぶん]
1267679368894	1342696646292	ずいぶん	very	ずいぶん
1267679368895	1342696646292	そうか	I see. (casual)	そうか
1267679368896	1342696646292	それに	moreover, ...	それに
1267679368897	1342696646292	例えば	for example	例[たと]えば
1267679368898	1342696646292	〜に比べて	compared with ...	〜に 比[くら]べて
1267679368899	1342696646292	〜によると	according to ...	〜によると
1267679368900	1342696646292	やっぱり	after all	やっぱり
1267679368901	1342696646292	エアコン	air conditioner	エアコン
1267679368902	1342696646292	牛乳	milk	牛乳[ぎゅうにゅう]
1267679368903	1342696646292	シャンプー	shampoo	シャンプー
1267679368904	1342696646292	スイッチ	switch	スイッチ
1267679368905	1342696646292	スカート	skirt	スカート
1267679368906	1342696646292	しょう油	soy sauce	しょう 油[ゆ]
1267679368907	1342696646292	外	outside	外[そと]
1267679368908	1342696646292	タオル	towel	タオル
1267679368909	1342696646292	日記	diary	日記[にっき]
1267679368910	1342696646292	ポップコーン	popcorn	ポップコーン
1267679368911	1342696646292	家賃	rent	家賃[やちん]
1267679368912	1342696646292	夕方	evening	夕方[ゆうがた]
1267679368913	1342696646292	ラジカセ	cassette player with a radio	ラジカセ
1267679368914	1342696646292	留守番電話	answering machine	留守番[るすばん] 電話[でんわ]
1267679368915	1342696646292	冷蔵庫	refrigerator	冷蔵庫[れいぞうこ]
1267679368916	1342696646292	ろうそく	candle	ろうそく
1267679368917	1342696646292	明るい	bright	明[あか]るい
1267679368918	1342696646292	気分が悪い	to feel sick	気分[きぶん]が 悪[わる]い
1267679368919	1342696646292	恥ずかしい	embarassing; to feel embarassed	恥[は]ずかしい
1267679368920	1342696646292	開く	(something) opens	開[ひら]く
1267679368921	1342696646292	謝る	to apologize	謝[あやま]る
1267679368922	1342696646292	押す	to press; to push	押[お]す
1267679368923	1342696646292	落とす	to drop (something)	落[お]とす
1267679368924	1342696646292	お湯が沸く	water boils	お 湯[ゆ]が 沸[わ]く
1267679368925	1342696646292	転ぶ	to fall down	転[ころ]ぶ
1267679368926	1342696646292	壊す	to break (something)	壊[こわ]す
1267679368927	1342696646292	咲く	to bloom	咲[さ]く
1267679368928	1342696646292	閉まる	(something) closes	閉[し]まる
1267679368929	1342696646292	助かる	to be saved; to be helped	助[たす]かる
1267679368930	1342696646292	頼む	to ask (a favor)	頼[たの]む
1267679368931	1342696646292	つく	(something) turns on	つく
1267679368932	1342696646292	汚す	to make dirty	汚[けが]す
1267679368933	1342696646292	落ちる	(something) drops	落[お]ちる
1267679368934	1342696646292	考える	to think (about); to consider	考[かんが]える
1267679368935	1342696646292	消える	(something) goes off	消[き]える
1267679368936	1342696646292	壊れる	(something) breaks	壊[こわ]れる
1267679368937	1342696646292	汚れる	to become dirty	汚[よご]れる
1267679368938	1342696646292	注文する	to place an order	注文[ちゅうもん]する
1267679368939	1342696646292	今すぐ	right away	今[いま]すぐ
1267679368940	1342696646292	おかげで	thanks to ...	おかげで
1267679368941	1342696646292	お先に失礼します	See you. (lit., I'm leaving ahead of you.)	お 先[さき]に 失礼[しつれい]します
1267679368942	1342696646292	お疲れ様でした	You must be tired after working so hard. (ritualistic expression)	お 疲れ様[つかれさま]でした
1267679368943	1342696646292	本当に	really	本当[ほんとう]に
1267679368944	1342696646292	まず	first of all	まず
1267679368945	1342696646292	〜までに	by (time/date)	〜までに
1267679368946	1342696646292	どうしよう	What should I/we do?	どうしよう
1267679368947	1342696646292	招待する	to invite someone (to an event/a place)	招待[しょうたい]する
1267679368948	1342696646292	奥様	(your/his) wife (polite)	奥様[おくさま]
1267679368949	1342696646292	お礼	expression of gratitude	お 礼[れい]
1267679368950	1342696646292	敬語	honorific language	敬語[けいご]
1267679368951	1342696646292	出張	business trip	出張[しゅっちょう]
1267679368952	1342696646292	こちら	this way (polite); this person (polite)	こちら
1267679368953	1342696646292	種類	a kind; a sort	種類[しゅるい]
1267679368954	1342696646292	性格	personality	性格[せいかく]
1267679368955	1342696646292	中学生	junior high school student	中学生[ちゅうがくせい]
1267679368956	1342696646292	怠け者	lazy person	怠け者[なまけもの]
1267679368957	1342696646292	悩み	worry	悩[なや]み
1267679368958	1342696646292	話	chat; talk	話[はなし]
1267679368959	1342696646292	恥ずかしがり屋	shy person	恥[は]ずかしがり 屋[や]
1267679368960	1342696646292	部長	department manager	部長[ぶちょう]
1267679368961	1342696646292	文化	culture	文化[ぶんか]
1267679368962	1342696646292	間違い	mistake	間違[まちが]い
1267679368963	1342696646292	仲がいい	be on good/close terms; to get along well	仲[なか]がいい
1267679368964	1342696646292	まじめ	serious; sober; diligent	まじめ
1267679368965	1342696646292	いらっしゃる	honorific expression for いく, くる, and いる	いらっしゃる
1267679368966	1342696646292	怒る	to get angry	怒[おこ]る
1267679368967	1342696646292	おっしゃる	honorific expression for いう	おっしゃる
1267679368968	1342696646292	お休みになる	honorific expression for ねる	お 休[やす]みになる
1267679368969	1342696646292	決まる	to be decided	決[き]まる
1267679368970	1342696646292	下さる	honorific expression for くれる	下[くだ]さる
1267679368971	1342696646292	ご覧になる	honorific expression for みる	ご 覧[らん]になる
1267679368972	1342696646292	知り合う	to get aquainted with	知り合[しりあ]う
1267679368973	1342696646292	〜ていらっしゃる	honorific expression for 〜ている	〜ていらっしゃる
1267679368974	1342696646292	なさる	honorific expression for する	なさる
1267679368975	1342696646292	引っ越す	to move (to another place to live)	引っ越[ひっこ]す
1267679368976	1342696646292	召し上がる	honorific expression for たべる and のむ	召し上[めしあ]がる
1267679368977	1342696646292	呼ぶ	to call (one's name); to invite	呼[よ]ぶ
1267679368978	1342696646292	寄る	to stop by	寄[よ]る
1267679368979	1342696646292	遅れる	to become late	遅[おく]れる
1267679368980	1342696646292	かける	to sit down	かける
1267679368981	1342696646292	晴れる	to become sunny	晴[は]れる
1267679368982	1342696646292	もてる	to be popular (in terms of romantic interest)	もてる
1267679368983	1342696646292	遠慮する	to hold back for the time being; to refrain from	遠慮[えんりょ]する
1267679368984	1342696646292	ごちそうする	to treat/invite (someone) to a meal	ごちそうする
1267679368985	1342696646292	注意する	to watch out; to give warning	注意[ちゅうい]する
1267679368986	1342696646292	話をする	to have a talk	話[はなし]をする
1267679368987	1342696646292	なぜ	why (=どうして)	なぜ
1267679368988	1342696646292	本当は	in fact; originally	本当[ほんとう]は
1267679368989	1342696646292	毎朝	every morning	毎朝[まいあさ]
1267679368990	1342696646292	まだ	still	まだ
1267679368991	1342696646292	〜名様	party of ... people	〜 名[めい] 様[さま]
1267679368992	1342696646292	ようこそ	Welcome.	ようこそ
1267679368993	1342696646292	よろしくお伝えください	Please give my best regards (to ...)	よろしくお 伝[つた]えください
1267679368994	1342696646292	あちら	this way (polite)	あちら
1267679368995	1342696646292	宇宙人	space alien	宇宙[うちゅう] 人[じん]
1267679368996	1342696646292	音	sound	音[おと]
1267679368997	1342696646292	係の者	our person in charge	係[かかり]の 者[もの]
1267679368998	1342696646292	神様	God	神様[かみさま]
1267679368999	1342696646292	空港	airport	空港[くうこう]
1267679369000	1342696646292	字	letter; character	字[じ]
1267679369001	1342696646292	支店	branch office	支店[してん]
1267679369002	1342696646292	趣味	hobby; pastime	趣味[しゅみ]
1267679369003	1342696646292	小説	novel	小説[しょうせつ]
1267679369004	1342696646292	スニーカー	sneakers	スニーカー
1267679369005	1342696646292	扇子	fan	扇子[せんす]
1267679369006	1342696646292	月	moon	月[つき]
1267679369007	1342696646292	ハイヒール	high heels	ハイヒール
1267679369008	1342696646292	ゆうべ	last night	ゆうべ
1267679369009	1342696646292	重い	heavy; serious (illness)	重[おも]い
1267679369010	1342696646292	歩く	to walk	歩[ある]く
1267679369011	1342696646292	致す	extra-modest expression for する	致[いた]す
1267679369012	1342696646292	頂く	extra-modest expression for たべる and のむ	頂[いただ]く
1267679369013	1342696646292	頂く(もらう)	humble expression for もらう	頂[いただ]く(もらう)
1267679369014	1342696646292	伺う	to humbly visit; to humbly ask	伺[うかが]う
1267679369015	1342696646292	おる	extra-modest expression for いる	おる
1267679369016	1342696646292	ござる	extra-modest expression for ある	ござる
1267679369017	1342696646292	〜ておる	extra-modest expression for 〜ている	〜ておる
1267679369018	1342696646292	〜でござる	extra-modest expression for です	〜でござる
1267679369019	1342696646292	参る	extra-modest expression for いく and くる	参[まい]る
1267679369020	1342696646292	申す	extra-modest expression for いう	申[もう]す
1267679369021	1342696646292	戻る	to return; to come back	戻[もど]る
1267679369022	1342696646292	聞こえる	to be audible	聞[き]こえる
1267679369023	1342696646292	差し上げる	humble expression for あげる	差し上[さしあ]げる
1267679369024	1342696646292	伝える	to convey (message)	伝[つた]える
1267679369025	1342696646292	待たせる	to keep (someone) waiting	待[ま]たせる
1267679369026	1342696646292	交換する	to exchange	交換[こうかん]する
1267679369027	1342696646292	生活する	to lead a life	生活[せいかつ]する
1267679369028	1342696646292	返品する	to return (merchandise)	返品[へんぴん]する
1267679369029	1342696646292	おや	Oh!	おや
1267679369030	1342696646292	〜階	...th floor	〜 階[かい]
1267679369031	1342696646292	かしこまりました	Certainly.	かしこまりました
1267679369032	1342696646292	さあ	I am not sure, ...	さあ
1267679369033	1342696646292	失礼しました	I'm very sorry	失礼[しつれい]しました
1267679369034	1342696646292	少々	a few seconds	少々[しょうしょう]
1267679369035	1342696646292	それでは	if that is the case, ...	それでは
1267679369036	1342696646292	できれば	if possible	できれば
1267679369037	1342696646292	誠に	really (very polite)	誠[まこと]に
1267679369038	1342696646292	また	again	また
1267679369039	1342696646292	申し訳ありません	You have my apologies.	申し訳[もうしわけ]ありません
1267679369040	1342696646292	よろしかったら	if it is okay (polite)	よろしかったら
1267679369041	1342696646292	赤ちゃん	baby	赤[あか]ちゃん
1267679369042	1342696646292	蚊	mosquito	蚊[か]
1267679369043	1342696646292	会議	business meeting; conference	会議[かいぎ]
1267679369044	1342696646292	ガソリン	gasoline	ガソリン
1267679369045	1342696646292	環境	environment	環境[かんきょう]
1267679369046	1342696646292	警察	police; police station	警察[けいさつ]
1267679369047	1342696646292	工場	factory	工場[こうじょう]
1267679369048	1342696646292	事	things; matters	事[こと]
1267679369049	1342696646292	スピーチ	speech	スピーチ
1267679369050	1342696646292	政府	government	政府[せいふ]
1267679369051	1342696646292	ちかん	sexual offender; lascivious man	ちかん
1267679369052	1342696646292	泥棒	burgular	泥棒[どろぼう]
1267679369053	1342696646292	バイト	abbreviation of アルバイト	バイト
1267679369054	1342696646292	犯人	criminal	犯人[はんにん]
1267679369055	1342696646292	ポスター	poster	ポスター
1267679369056	1342696646292	昔	old days; past	昔[むかし]
1267679369057	1342696646292	文句	complaint	文句[もんく]
1267679369058	1342696646292	文句を言う	to complain	文句[もんく]を 言[い]う
1267679369059	1342696646292	留守	absence; not at home	留守[るす]
1267679369060	1342696646292	遠い	far (away)	遠[とお]い
1267679369061	1342696646292	ひどい	awful	ひどい
1267679369062	1342696646292	安全	safe	安全[あんぜん]
1267679369063	1342696646292	大切	precious; valuable	大切[たいせつ]
1267679369064	1342696646292	めちゃくちゃ	messy; disorganized	めちゃくちゃ
1267679369065	1342696646292	置く	to put; to lay; to place	置[お]く
1267679369066	1342696646292	気が付く	to notice	気[き]が 付[つ]く
1267679369067	1342696646292	ける	to kick	ける
1267679369068	1342696646292	刺す	to sting; to bite (bug); to stab	刺[さ]す
1267679369069	1342696646292	触る	to touch	触[さわ]る
1267679369070	1342696646292	捕まる	to be arrested; to be caught	捕[つか]まる
1267679369071	1342696646292	包む	to wrap; to cover	包[つつ]む
1267679369072	1342696646292	殴る	to strike; to hit; to punch	殴[なぐ]る
1267679369073	1342696646292	盗む	to steal; to rob	盗[ぬす]む
1267679369074	1342696646292	貼る	to post	貼[は]る
1267679369075	1342696646292	踏む	to step on	踏[ふ]む
1267679369076	1342696646292	ふる	to turn down (somebody); to reject; to jilt	ふる
1267679369077	1342696646292	焼く	to bake	焼[や]く
1267679369078	1342696646292	いじめる	to bully	いじめる
1267679369079	1342696646292	着替える	to change clothes	着替[きが]える
1267679369080	1342696646292	ためる	to save money	ためる
1267679369081	1342696646292	つづける	to continue	つづける
1267679369082	1342696646292	ほめる	to praise; to say nice things	ほめる
1267679369083	1342696646292	間違える	to make a mistake	間違[まちが]える
1267679369084	1342696646292	見つける	to find	見[み]つける
1267679369085	1342696646292	準備する	to prepare	準備[じゅんび]する
1267679369086	1342696646292	ばかにする	to insult; to make a fool of ...	ばかにする
1267679369087	1342696646292	びっくりする	to be surprised	びっくりする
1267679369088	1342696646292	昼寝をする	to take a nap	昼寝[ひるね]をする
1267679369089	1342696646292	連絡する	to contact	連絡[れんらく]する
1267679369090	1342696646292	〜間に	while...	〜 間[かん]に
1267679369091	1342696646292	ころ	time of...; when...	ころ
1267679369092	1342696646292	少し	a little	少[すこ]し
1267679369093	1342696646292	とにかく	anyhow; anyway	とにかく
1267679369094	1342696646292	同僚	colleague	同僚[どうりょう]
1267679369095	1342696646292	相手	partner	相手[あいて]
1267679369096	1342696646292	受付	reception desk	受付[うけつけ]
1267679369097	1342696646292	英会話	English conversation	英会話[えいかいわ]
1267679369098	1342696646292	お嬢さん	(someone's) daughter (polite)	お 嬢[じょう]さん
1267679369099	1342696646292	家事	household matters	家事[かじ]
1267679369100	1342696646292	木	tree	木[き]
1267679369101	1342696646292	期末試験	final examination	期末[きまつ] 試験[しけん]
1267679369102	1342696646292	後輩	junior members of a group	後輩[こうはい]
1267679369103	1342696646292	猿	monkey	猿[さる]
1267679369104	1342696646292	自由	freedom	自由[じゆう]
1267679369105	1342696646292	塾	cram school	塾[じゅく]
1267679369106	1342696646292	書類	document	書類[しょるい]
1267679369107	1342696646292	先輩	senior members of a group	先輩[せんぱい]
1267679369108	1342696646292	一人暮らし	living alone	一人暮[ひとりぐ]らし
1267679369109	1342696646292	部下	subordinate	部下[ぶか]
1267679369110	1342696646292	復習	review of lessons	復習[ふくしゅう]
1267679369111	1342696646292	プロジェクト	project	プロジェクト
1267679369112	1342696646292	ボール	ball	ボール
1267679369113	1342696646292	無駄遣い	waste (money)	無駄遣[むだづか]い
1267679369114	1342696646292	免許	license	免許[めんきょ]
1267679369115	1342696646292	予習	preparation of lessons	予習[よしゅう]
1267679369116	1342696646292	うるさい	noisy; annoying	うるさい
1267679369117	1342696646292	心配	worried about	心配[しんぱい]
1267679369118	1342696646292	貧乏	poor	貧乏[びんぼう]
1267679369119	1342696646292	ペラペラ	fluent	ペラペラ
1267679369120	1342696646292	変	strange; unusual	変[へん]
1267679369121	1342696646292	楽	easy; comfortable	楽[らく]
1267679369122	1342696646292	勝つ	to win	勝[か]つ
1267679369123	1342696646292	コピーを取る	to make a photocopy	コピーを 取[と]る
1267679369124	1342696646292	運ぶ	to carry from one place to another; transport	運[はこ]ぶ
1267679369125	1342696646292	走る	to run	走[はし]る
1267679369126	1342696646292	拾う	to pick up (something)	拾[ひろ]う
1267679369127	1342696646292	吹く	to blow	吹[ふ]く
1267679369128	1342696646292	放っておく	to leave (someone/something) alone; to neglect	放[はな]っておく
1267679369129	1342696646292	間に合う	to be in time for	間に合[まにあ]う
1267679369130	1342696646292	迎えに行く	to go to pick up (someone)	迎[むか]えに 行[い]く
1267679369131	1342696646292	計画を立てる	to make a plan	計画[けいかく]を 立[た]てる
1267679369132	1342696646292	育てる	to raise; to bring up	育[そだ]てる
1267679369133	1342696646292	助ける	to help; to rescue	助[たす]ける
1267679369134	1342696646292	負ける	to lose (a match)	負[ま]ける
1267679369135	1342696646292	お願いする	to pray for help	お 願[ねが]いする
1267679369136	1342696646292	賛成する	to agree	賛成[さんせい]する
1267679369137	1342696646292	失敗する	to fail; to be unsuccessful	失敗[しっぱい]する
1267679369138	1342696646292	徹夜する	to stay up all night	徹夜[てつや]する
1267679369139	1342696646292	反対する	to oppose; to object to	反対[はんたい]する
1267679369140	1342696646292	翻訳する	to translate	翻訳[ほんやく]する
1267679369141	1342696646292	こんなふう	in this way	こんなふう
1267679369142	1342696646292	ずっと	for a long time; all the time	ずっと
1267679369143	1342696646292	絶対に	definitely	絶対[ぜったい]に
1267679369144	1342696646292	そんなことはない	I don't think so.	そんなことはない
1267679369145	1342696646292	〜とか	...for example	〜とか
1267679369146	1342696646292	何度も	many times	何[なん] 度[ど]も
1267679369147	1342696646292	のんびり	in a leisurely way	のんびり
1267679369148	1342696646292	もう少し	a little more	もう 少[すこ]し
1267679369149	1342696646292	思い出	memory	思い出[おもいで]
1267679369150	1342696646292	海外旅行	trip to a foreign country	海外[かいがい] 旅行[りょこう]
1267679369151	1342696646292	体	body	体[からだ]
1267679369152	1342696646292	靴下	socks	靴下[くつした]
1267679369153	1342696646292	国際電話	international call	国際[こくさい] 電話[でんわ]
1267679369154	1342696646292	授業料	tuition	授業[じゅぎょう] 料[りょう]
1267679369155	1342696646292	小学校	elementary school	小学校[しょうがっこう]
1267679369156	1342696646292	選挙	election	選挙[せんきょ]
1267679369157	1342696646292	タイヤ	tire	タイヤ
1267679369158	1342696646292	ただ	free of charge	ただ
1267679369159	1342696646292	場所	place	場所[ばしょ]
1267679369160	1342696646292	別荘	villa; vacation home	別荘[べっそう]
1267679369161	1342696646292	ボーナス	bonus	ボーナス
1267679369162	1342696646292	盆踊り	Bon dance (Japanese traditional dance)	盆踊[ぼんおど]り
1267679369163	1342696646292	面接	interview	面接[めんせつ]
1267679369164	1342696646292	夕食	dinner	夕食[ゆうしょく]
1267679369165	1342696646292	理想	ideal	理想[りそう]
1267679369166	1342696646292	留守番	looking after a house during one's absence	留守番[るすばん]
1267679369167	1342696646292	まずい	(food is) terrible	まずい
1267679369168	1342696646292	雨がやむ	the rain stops	雨[あめ]がやむ
1267679369169	1342696646292	いなくなる	(someone) is gone; to disappear	いなくなる
1267679369170	1342696646292	お世話になる	to be in someone's care	お 世話[せわ]になる
1267679369171	1342696646292	おなかをこわす	to have a stomachache	おなかをこわす
1267679369172	1342696646292	違う	to be different; wrong	違[ちが]う
1267679369173	1342696646292	なくなる	to be lost; to disappear	なくなる
1267679369174	1342696646292	悪口を言う	to talk behind someone's back	悪口[わるぐち]を 言[い]う
1267679369175	1342696646292	受ける	to take (an examination, interview, etc.)	受[う]ける
1267679369176	1342696646292	換える	to change	換[か]える
1267679369177	1342696646292	離れる	(something/someone) separates; parts from	離[はな]れる
1267679369178	1342696646292	〜顔をする	to look ...(facial expression)	〜 顔[がお]をする
1267679369179	1342696646292	がっかりする	to be disappointed	がっかりする
1267679369180	1342696646292	我慢する	to be tolerant/patient	我慢[がまん]する
1267679369181	1342696646292	世話をする	to take care of ...	世話[せわ]をする
1267679369182	1342696646292	同情する	to sympathize	同情[どうじょう]する
1267679369183	1342696646292	パンクする	(tire) goes flat	パンクする
1267679369184	1342696646292	戻ってくる	(something/someone) comes back	戻[もど]ってくる
1267679369185	1342696646292	優勝する	to win a championship	優勝[ゆうしょう]する
1267679369186	1342696646292	いや	no	いや
1267679369187	1342696646292	元気でね	Take care of yourself.	元気[げんき]でね
1267679369188	1342696646292	そうそう	You are right.	そうそう
1267679369189	1342696646292	そろそろ	it is about time to ...	そろそろ
1267679369190	1342696646292	そんな〜	such ...; that kind of ...	そんな〜
1267679369191	1342696646292	ものすごく	extremely	ものすごく
1267809807328	1342696646292	横	next (to, dissimilar things)	横[よこ]
